Participant,Practice,Block,Trial,ObjectCount,VVChange
0,TRUE,0,0,25,VV1VV2
0,TRUE,0,1,16,VV1VV2
0,TRUE,0,2,16,VV1
0,FALSE,1,0,9,VV1
0,FALSE,1,1,9,VV2
0,FALSE,1,2,9,VV1
0,FALSE,1,3,9,VV1VV2
0,FALSE,1,4,9,VV2
0,FALSE,1,5,9,VV2
0,FALSE,1,6,9,VV1VV2
0,FALSE,1,7,9,VV1
0,FALSE,1,8,9,VV1
0,FALSE,1,9,9,VV1VV2
0,FALSE,1,10,9,VV1VV2
0,FALSE,1,11,9,VV1VV2
0,FALSE,1,12,9,VV2
0,FALSE,1,13,9,VV1
0,FALSE,1,14,9,VV2
0,FALSE,2,0,25,VV1
0,FALSE,2,1,25,VV1
0,FALSE,2,2,25,VV1
0,FALSE,2,3,25,VV1
0,FALSE,2,4,25,VV1
0,FALSE,2,5,25,VV2
0,FALSE,2,6,25,VV2
0,FALSE,2,7,25,VV2
0,FALSE,2,8,25,VV1VV2
0,FALSE,2,9,25,VV1VV2
0,FALSE,2,10,25,VV1VV2
0,FALSE,2,11,25,VV1VV2
0,FALSE,2,12,25,VV2
0,FALSE,2,13,25,VV1VV2
0,FALSE,2,14,25,VV2
0,FALSE,3,0,16,VV2
0,FALSE,3,1,16,VV2
0,FALSE,3,2,16,VV2
0,FALSE,3,3,16,VV1
0,FALSE,3,4,16,VV1VV2
0,FALSE,3,5,16,VV1
0,FALSE,3,6,16,VV2
0,FALSE,3,7,16,VV2
0,FALSE,3,8,16,VV1VV2
0,FALSE,3,9,16,VV1
0,FALSE,3,10,16,VV1VV2
0,FALSE,3,11,16,VV1VV2
0,FALSE,3,12,16,VV1VV2
0,FALSE,3,13,16,VV1
0,FALSE,3,14,16,VV1
1,FALSE,1,0,16,VV2
1,FALSE,1,1,16,VV1VV2
1,FALSE,1,2,16,VV2
1,FALSE,1,3,16,VV1VV2
1,FALSE,1,4,16,VV1VV2
1,FALSE,1,5,16,VV1
1,FALSE,1,6,16,VV2
1,FALSE,1,7,16,VV1
1,FALSE,1,8,16,VV2
1,FALSE,1,9,16,VV1
1,FALSE,1,10,16,VV1
1,FALSE,1,11,16,VV1
1,FALSE,1,12,16,VV1VV2
1,FALSE,1,13,16,VV1VV2
1,FALSE,1,14,16,VV2
1,FALSE,2,0,9,VV1
1,FALSE,2,1,9,VV2
1,FALSE,2,2,9,VV1
1,FALSE,2,3,9,VV1VV2
1,FALSE,2,4,9,VV1
1,FALSE,2,5,9,VV2
1,FALSE,2,6,9,VV1
1,FALSE,2,7,9,VV1VV2
1,FALSE,2,8,9,VV1VV2
1,FALSE,2,9,9,VV2
1,FALSE,2,10,9,VV2
1,FALSE,2,11,9,VV1
1,FALSE,2,12,9,VV2
1,FALSE,2,13,9,VV1VV2
1,FALSE,2,14,9,VV1VV2
1,FALSE,3,0,25,VV2
1,FALSE,3,1,25,VV2
1,FALSE,3,2,25,VV2
1,FALSE,3,3,25,VV1VV2
1,FALSE,3,4,25,VV2
1,FALSE,3,5,25,VV1
1,FALSE,3,6,25,VV1VV2
1,FALSE,3,7,25,VV1
1,FALSE,3,8,25,VV1
1,FALSE,3,9,25,VV1
1,FALSE,3,10,25,VV1VV2
1,FALSE,3,11,25,VV1VV2
1,FALSE,3,12,25,VV1VV2
1,FALSE,3,13,25,VV2
1,FALSE,3,14,25,VV1
2,FALSE,1,0,25,VV2
2,FALSE,1,1,25,VV2
2,FALSE,1,2,25,VV1VV2
2,FALSE,1,3,25,VV1VV2
2,FALSE,1,4,25,VV1
2,FALSE,1,5,25,VV1VV2
2,FALSE,1,6,25,VV1
2,FALSE,1,7,25,VV2
2,FALSE,1,8,25,VV2
2,FALSE,1,9,25,VV1
2,FALSE,1,10,25,VV1
2,FALSE,1,11,25,VV1VV2
2,FALSE,1,12,25,VV2
2,FALSE,1,13,25,VV1VV2
2,FALSE,1,14,25,VV1
2,FALSE,2,0,16,VV2
2,FALSE,2,1,16,VV2
2,FALSE,2,2,16,VV1VV2
2,FALSE,2,3,16,VV1VV2
2,FALSE,2,4,16,VV1
2,FALSE,2,5,16,VV2
2,FALSE,2,6,16,VV2
2,FALSE,2,7,16,VV1
2,FALSE,2,8,16,VV1VV2
2,FALSE,2,9,16,VV1VV2
2,FALSE,2,10,16,VV1
2,FALSE,2,11,16,VV2
2,FALSE,2,12,16,VV1VV2
2,FALSE,2,13,16,VV1
2,FALSE,2,14,16,VV1
2,FALSE,3,0,9,VV1VV2
2,FALSE,3,1,9,VV1
2,FALSE,3,2,9,VV1VV2
2,FALSE,3,3,9,VV2
2,FALSE,3,4,9,VV2
2,FALSE,3,5,9,VV1
2,FALSE,3,6,9,VV1VV2
2,FALSE,3,7,9,VV1
2,FALSE,3,8,9,VV1
2,FALSE,3,9,9,VV1VV2
2,FALSE,3,10,9,VV2
2,FALSE,3,11,9,VV2
2,FALSE,3,12,9,VV1
2,FALSE,3,13,9,VV1VV2
2,FALSE,3,14,9,VV2
3,FALSE,1,0,9,VV2
3,FALSE,1,1,9,VV2
3,FALSE,1,2,9,VV1
3,FALSE,1,3,9,VV2
3,FALSE,1,4,9,VV1VV2
3,FALSE,1,5,9,VV1VV2
3,FALSE,1,6,9,VV1VV2
3,FALSE,1,7,9,VV1
3,FALSE,1,8,9,VV2
3,FALSE,1,9,9,VV1
3,FALSE,1,10,9,VV2
3,FALSE,1,11,9,VV1
3,FALSE,1,12,9,VV1
3,FALSE,1,13,9,VV1VV2
3,FALSE,1,14,9,VV1VV2
3,FALSE,2,0,25,VV1VV2
3,FALSE,2,1,25,VV2
3,FALSE,2,2,25,VV1
3,FALSE,2,3,25,VV1VV2
3,FALSE,2,4,25,VV2
3,FALSE,2,5,25,VV1
3,FALSE,2,6,25,VV1
3,FALSE,2,7,25,VV2
3,FALSE,2,8,25,VV1
3,FALSE,2,9,25,VV1VV2
3,FALSE,2,10,25,VV1VV2
3,FALSE,2,11,25,VV2
3,FALSE,2,12,25,VV2
3,FALSE,2,13,25,VV1VV2
3,FALSE,2,14,25,VV1
3,FALSE,3,0,16,VV1
3,FALSE,3,1,16,VV1VV2
3,FALSE,3,2,16,VV1VV2
3,FALSE,3,3,16,VV1
3,FALSE,3,4,16,VV1
3,FALSE,3,5,16,VV2
3,FALSE,3,6,16,VV2
3,FALSE,3,7,16,VV2
3,FALSE,3,8,16,VV1VV2
3,FALSE,3,9,16,VV2
3,FALSE,3,10,16,VV1VV2
3,FALSE,3,11,16,VV1
3,FALSE,3,12,16,VV1VV2
3,FALSE,3,13,16,VV2
3,FALSE,3,14,16,VV1
4,FALSE,1,0,16,VV2
4,FALSE,1,1,16,VV1
4,FALSE,1,2,16,VV1
4,FALSE,1,3,16,VV1
4,FALSE,1,4,16,VV1VV2
4,FALSE,1,5,16,VV1
4,FALSE,1,6,16,VV2
4,FALSE,1,7,16,VV1VV2
4,FALSE,1,8,16,VV2
4,FALSE,1,9,16,VV1
4,FALSE,1,10,16,VV2
4,FALSE,1,11,16,VV1VV2
4,FALSE,1,12,16,VV2
4,FALSE,1,13,16,VV1VV2
4,FALSE,1,14,16,VV1VV2
4,FALSE,2,0,9,VV1
4,FALSE,2,1,9,VV2
4,FALSE,2,2,9,VV1
4,FALSE,2,3,9,VV1VV2
4,FALSE,2,4,9,VV2
4,FALSE,2,5,9,VV1VV2
4,FALSE,2,6,9,VV1VV2
4,FALSE,2,7,9,VV2
4,FALSE,2,8,9,VV1
4,FALSE,2,9,9,VV1
4,FALSE,2,10,9,VV1VV2
4,FALSE,2,11,9,VV2
4,FALSE,2,12,9,VV1VV2
4,FALSE,2,13,9,VV2
4,FALSE,2,14,9,VV1
4,FALSE,3,0,25,VV1
4,FALSE,3,1,25,VV2
4,FALSE,3,2,25,VV1
4,FALSE,3,3,25,VV1VV2
4,FALSE,3,4,25,VV2
4,FALSE,3,5,25,VV1
4,FALSE,3,6,25,VV1
4,FALSE,3,7,25,VV1VV2
4,FALSE,3,8,25,VV1VV2
4,FALSE,3,9,25,VV1
4,FALSE,3,10,25,VV1VV2
4,FALSE,3,11,25,VV2
4,FALSE,3,12,25,VV2
4,FALSE,3,13,25,VV1VV2
4,FALSE,3,14,25,VV2
5,FALSE,1,0,25,VV1VV2
5,FALSE,1,1,25,VV2
5,FALSE,1,2,25,VV1
5,FALSE,1,3,25,VV1VV2
5,FALSE,1,4,25,VV1
5,FALSE,1,5,25,VV2
5,FALSE,1,6,25,VV2
5,FALSE,1,7,25,VV2
5,FALSE,1,8,25,VV2
5,FALSE,1,9,25,VV1VV2
5,FALSE,1,10,25,VV1
5,FALSE,1,11,25,VV1
5,FALSE,1,12,25,VV1
5,FALSE,1,13,25,VV1VV2
5,FALSE,1,14,25,VV1VV2
5,FALSE,2,0,16,VV2
5,FALSE,2,1,16,VV2
5,FALSE,2,2,16,VV2
5,FALSE,2,3,16,VV1
5,FALSE,2,4,16,VV1
5,FALSE,2,5,16,VV1VV2
5,FALSE,2,6,16,VV1VV2
5,FALSE,2,7,16,VV1
5,FALSE,2,8,16,VV1VV2
5,FALSE,2,9,16,VV2
5,FALSE,2,10,16,VV2
5,FALSE,2,11,16,VV1
5,FALSE,2,12,16,VV1VV2
5,FALSE,2,13,16,VV1
5,FALSE,2,14,16,VV1VV2
5,FALSE,3,0,9,VV2
5,FALSE,3,1,9,VV1
5,FALSE,3,2,9,VV1
5,FALSE,3,3,9,VV1
5,FALSE,3,4,9,VV1VV2
5,FALSE,3,5,9,VV2
5,FALSE,3,6,9,VV2
5,FALSE,3,7,9,VV1VV2
5,FALSE,3,8,9,VV1
5,FALSE,3,9,9,VV1VV2
5,FALSE,3,10,9,VV2
5,FALSE,3,11,9,VV1
5,FALSE,3,12,9,VV2
5,FALSE,3,13,9,VV1VV2
5,FALSE,3,14,9,VV1VV2